"Date","Mean.TemperatureC","fog","rain","snow","hail","thunder","tornado"
2014-05-31,22,0,0,0,0,0,0
2014-06-01,21,0,0,0,0,0,0
2014-06-02,21,0,0,0,0,0,0
2014-06-03,21,0,0,0,0,0,0
2014-06-04,21,0,0,0,0,0,0
2014-06-05,22,0,0,0,0,0,0
2014-06-06,21,0,0,0,0,0,0
2014-06-07,21,0,0,0,0,0,0
2014-06-08,22,0,0,0,0,0,0
2014-06-09,26,0,0,0,0,0,0
2014-06-10,22,0,0,0,0,0,0
2014-06-11,22,0,0,0,0,0,0
2014-06-12,22,0,0,0,0,0,0
2014-06-13,21,1,0,0,0,0,0
2014-06-14,21,0,0,0,0,0,0
2014-06-15,20,1,0,0,0,0,0
2014-06-16,21,0,0,0,0,0,0
2014-06-17,20,1,0,0,0,0,0
2014-06-18,20,0,0,0,0,0,0
2014-06-19,22,0,0,0,0,0,0
2014-06-20,24,0,0,0,0,0,0
2014-06-21,24,0,0,0,0,0,0
2014-06-22,22,0,0,0,0,0,0
2014-06-23,22,0,0,0,0,0,0
2014-06-24,22,0,0,0,0,0,0
2014-06-25,22,0,0,0,0,0,0
2014-06-26,22,0,0,0,0,0,0
2014-06-27,23,0,0,0,0,0,0
2014-06-28,23,0,0,0,0,0,0
2014-06-29,26,0,0,0,0,0,0
2014-06-30,24,0,0,0,0,0,0
2014-07-01,24,0,0,0,0,0,0
2014-07-02,24,0,0,0,0,0,0
2014-07-03,27,0,0,0,0,0,0
2014-07-04,28,0,0,0,0,1,0
2014-07-05,28,0,0,0,0,0,0
2014-07-06,27,0,0,0,0,0,0
2014-07-07,28,0,0,0,0,0,0
2014-07-08,27,0,0,0,0,0,0
2014-07-09,26,0,0,0,0,0,0
2014-07-10,24,0,0,0,0,0,0
2014-07-11,23,0,0,0,0,0,0
2014-07-12,24,0,0,0,0,0,0
2014-07-13,27,0,0,0,0,0,0
2014-07-14,27,0,1,0,0,0,0
2014-07-15,24,0,0,0,0,0,0
2014-07-16,24,0,0,0,0,0,0
2014-07-17,21,0,0,0,0,0,0
2014-07-18,21,0,0,0,0,0,0
2014-07-19,22,0,1,0,0,0,0
2014-07-20,22,0,0,0,0,0,0
2014-07-21,23,0,0,0,0,0,0
2014-07-22,24,0,0,0,0,0,0
2014-07-23,26,0,0,0,0,0,0
2014-07-24,28,0,0,0,0,0,0
2014-07-25,28,0,0,0,0,0,0
2014-07-26,28,0,0,0,0,0,0
2014-07-27,27,0,0,0,0,0,0
2014-07-28,28,0,0,0,0,0,0
2014-07-29,27,0,0,0,0,0,0
2014-07-30,28,0,0,0,0,0,0
2014-07-31,29,0,0,0,0,0,0
2014-08-01,28,0,0,0,0,0,0
2014-08-02,26,0,1,0,0,0,0
2014-08-03,25,0,1,0,0,1,0
2014-08-04,26,0,1,0,0,0,0
2014-08-05,23,0,0,0,0,0,0
2014-08-06,21,1,0,0,0,0,0
2014-08-07,22,1,0,0,0,0,0
2014-08-08,23,0,0,0,0,0,0
2014-08-09,24,0,0,0,0,0,0
2014-08-10,25,0,0,0,0,0,0
2014-08-11,27,0,0,0,0,0,0
2014-08-12,27,0,0,0,0,0,0
2014-08-13,25,0,0,0,0,0,0
2014-08-14,26,0,0,0,0,0,0
2014-08-15,26,0,0,0,0,0,0
2014-08-16,27,0,0,0,0,0,0
2014-08-17,27,0,0,0,0,0,0
2014-08-18,28,0,0,0,0,0,0
2014-08-19,23,0,0,0,0,0,0
2014-08-20,22,0,1,0,0,1,0
2014-08-21,23,0,0,0,0,0,0
2014-08-22,24,0,0,0,0,0,0
2014-08-23,22,0,0,0,0,0,0
2014-08-24,22,1,0,0,0,0,0
2014-08-25,23,0,0,0,0,0,0
2014-08-26,26,0,0,0,0,0,0
2014-08-27,26,0,0,0,0,0,0
2014-08-28,27,0,0,0,0,0,0
2014-08-29,27,0,0,0,0,0,0
2014-08-30,27,0,0,0,0,0,0
2014-08-31,26,0,0,0,0,0,0
2014-09-01,26,0,0,0,0,0,0
2014-09-02,24,1,0,0,0,0,0
2014-09-03,24,0,0,0,0,0,0
2014-09-04,23,0,0,0,0,0,0
2014-09-05,26,0,0,0,0,0,0
2014-09-06,29,0,0,0,0,0,0
2014-09-07,28,0,0,0,0,1,0
2014-09-08,25,0,1,0,0,0,0
2014-09-09,27,0,0,0,0,0,0
2014-09-10,26,0,0,0,0,0,0
2014-09-11,27,0,0,0,0,0,0
2014-09-12,28,0,0,0,0,0,0
2014-09-13,29,0,0,0,0,0,0
2014-09-14,30,0,0,0,0,0,0
2014-09-15,31,0,0,0,0,0,0
2014-09-16,31,0,0,0,0,1,0
2014-09-17,31,0,0,0,0,0,0
2014-09-18,24,0,0,0,0,0,0
2014-09-19,23,0,0,0,0,0,0
2014-09-20,21,0,0,0,0,0,0
2014-09-21,22,0,0,0,0,0,0
2014-09-22,23,0,0,0,0,0,0
2014-09-23,24,0,0,0,0,0,0
2014-09-24,26,0,0,0,0,0,0
2014-09-25,27,0,0,0,0,0,0
2014-09-26,24,0,0,0,0,0,0
2014-09-27,18,0,0,0,0,0,0
2014-09-28,19,0,0,0,0,0,0
2014-09-29,20,0,0,0,0,0,0
2014-09-30,21,0,0,0,0,0,0
2014-10-01,22,0,0,0,0,0,0
2014-10-02,23,0,0,0,0,0,0
2014-10-03,23,0,0,0,0,0,0
2014-10-04,24,0,0,0,0,0,0
2014-10-05,24,0,0,0,0,0,0
2014-10-06,23,0,0,0,0,0,0
2014-10-07,24,0,0,0,0,0,0
2014-10-08,23,0,0,0,0,0,0
2014-10-09,20,0,0,0,0,0,0
2014-10-10,20,0,0,0,0,0,0
2014-10-11,22,0,0,0,0,0,0
2014-10-12,21,0,0,0,0,0,0
2014-10-13,22,0,0,0,0,0,0
2014-10-14,19,0,0,0,0,0,0
2014-10-15,20,0,0,0,0,0,0
2014-10-16,18,0,0,0,0,0,0
2014-10-17,17,0,0,0,0,0,0
2014-10-18,20,0,0,0,0,0,0
2014-10-19,18,0,0,0,0,0,0
2014-10-20,19,1,0,0,0,0,0
2014-10-21,19,1,0,0,0,0,0
2014-10-22,21,0,0,0,0,0,0
2014-10-23,21,0,0,0,0,0,0
2014-10-24,21,0,0,0,0,0,0
2014-10-25,21,0,0,0,0,0,0
2014-10-26,17,0,0,0,0,0,0
2014-10-27,17,0,0,0,0,0,0
2014-10-28,18,0,0,0,0,0,0
2014-10-29,19,0,0,0,0,0,0
2014-10-30,19,0,0,0,0,0,0
2014-10-31,16,0,0,0,0,0,0
2014-11-01,13,0,1,0,0,0,0
2014-11-02,12,0,0,0,0,0,0
2014-11-03,12,0,1,0,0,0,0
2014-11-04,13,0,0,0,0,0,0
2014-11-05,18,0,0,0,0,0,0
2014-11-06,19,0,0,0,0,0,0
2014-11-07,18,0,0,0,0,0,0
2014-11-08,19,0,0,0,0,0,0
2014-11-09,19,0,0,0,0,0,0
2014-11-10,13,1,0,0,0,0,0
2014-11-11,16,0,0,0,0,0,0
2014-11-12,16,0,0,0,0,0,0
2014-11-13,14,0,0,0,0,0,0
2014-11-14,17,0,0,0,0,0,0
2014-11-15,14,0,0,0,0,0,0
2014-11-16,14,0,0,0,0,0,0
2014-11-17,15,0,0,0,0,0,0
2014-11-18,16,0,0,0,0,0,0
2014-11-19,13,0,0,0,0,0,0
2014-11-20,12,0,0,0,0,0,0
2014-11-21,14,0,1,0,0,1,0
2014-11-22,13,0,0,0,0,0,0
2014-11-23,16,1,0,0,0,0,0
2014-11-24,14,0,0,0,0,0,0
2014-11-25,14,0,0,0,0,0,0
2014-11-26,17,0,0,0,0,0,0
2014-11-27,18,0,0,0,0,0,0
2014-11-28,16,0,0,0,0,0,0
2014-11-29,14,0,0,0,0,0,0
2014-11-30,13,0,0,0,0,0,0
2014-12-01,13,0,0,0,0,0,0
2014-12-02,13,0,1,0,0,0,0
2014-12-03,16,0,1,0,0,0,0
2014-12-04,15,0,1,0,0,0,0
2014-12-05,14,1,0,0,0,0,0
2014-12-06,14,1,0,0,0,0,0
2014-12-07,16,0,0,0,0,0,0
2014-12-08,17,0,0,0,0,0,0
2014-12-09,14,0,0,0,0,0,0
2014-12-10,13,0,0,0,0,0,0
2014-12-11,14,0,0,0,0,0,0
2014-12-12,12,0,1,0,0,0,0
2014-12-13,10,0,1,0,0,0,0
2014-12-14,9,1,0,0,0,0,0
2014-12-15,10,0,0,0,0,0,0
2014-12-16,9,0,1,0,0,0,0
2014-12-17,11,0,1,0,0,0,1
2014-12-18,9,1,0,0,0,0,0
2014-12-19,10,0,0,0,0,0,0
2014-12-20,9,0,0,0,0,0,0
2014-12-21,11,0,0,0,0,0,0
2014-12-22,13,0,0,0,0,0,0
2014-12-23,15,0,0,0,0,0,0
2014-12-24,14,0,0,0,0,0,0
2014-12-25,10,0,1,0,0,0,0
2014-12-26,9,0,0,0,0,0,0
2014-12-27,7,0,0,0,0,0,0
2014-12-28,6,0,0,0,0,0,0
2014-12-29,6,0,0,0,0,0,0
2014-12-30,4,0,1,1,0,0,0
2014-12-31,3,0,1,1,0,0,0
2015-01-01,3,0,0,0,0,0,0
2015-01-02,4,0,0,0,0,0,0
2015-01-03,6,0,0,0,0,0,0
2015-01-04,9,0,0,0,0,0,0
2015-01-05,13,0,0,0,0,0,0
2015-01-06,13,0,0,0,0,0,0
2015-01-07,14,0,0,0,0,0,0
2015-01-08,13,0,0,0,0,0,0
2015-01-09,11,0,0,0,0,0,0
